1st,1stapperances,2nd,2nd apperances,ratio,distance
Research,588,Disease Rates,426,0.380952381,9
Race and Ethnicity,688,Polls and Public Opinion,404,0.380952381,16
Coronavirus Reopenings,745,Travel and Vacations,409,0.380952381,18
Vaccination and Immunization,667,Labor and Jobs,566,0.380952381,21
"Demonstrations, Protests and Riots",442,House of Representatives,424,0.379310345,25
United States,1391,House of Representatives,424,0.378378378,17
Politics and Government,1118,Labor and Jobs,566,0.378378378,17
Quarantines,1073,Computers and the Internet,536,0.378378378,19
Computers and the Internet,536,Black Lives Matter Movement,453,0.377358491,22
Television,663,Movies,440,0.375,8
Race and Ethnicity,688,Labor and Jobs,566,0.375,13
Politics and Government,1118,Parenting,456,0.375,18
United States Economy,832,Black Lives Matter Movement,453,0.375,20
Books and Literature,778,Vaccination and Immunization,667,0.375,21
Quarantine (Life and Culture),1509,Deaths (Fatalities),550,0.375,22
Real Estate and Housing (Residential),1128,Black Lives Matter Movement,453,0.375,30
Politics and Government,1118,Travel and Vacations,409,0.372093023,17
Coronavirus Reopenings,745,Cooking and Cookbooks,492,0.372093023,17
Deaths (Fatalities),550,House of Representatives,424,0.372093023,20
Vaccination and Immunization,667,Women and Girls,647,0.372093023,21
Presidential Election of 2020,2304,Discrimination,612,0.372093023,23
Discrimination,612,Disease Rates,426,0.37037037,9
Quarantines,1073,Education (K-12),413,0.37037037,13
your-feed-science,694,Television,663,0.37037037,13
Race and Ethnicity,688,Parenting,456,0.37037037,13
China,609,Children and Childhood,483,0.37037037,17
Vaccination and Immunization,667,Computers and the Internet,536,0.37037037,22
Books and Literature,778,"Demonstrations, Protests and Riots",442,0.37037037,26
United States Politics and Government,3830,Vaccination and Immunization,667,0.369230769,30
Books and Literature,778,Race and Ethnicity,688,0.368421053,14
Labor and Jobs,566,Polls and Public Opinion,404,0.368421053,18
Discrimination,612,Polls and Public Opinion,404,0.368421053,19
Presidential Election of 2020,2304,Parenting,456,0.368421053,23
Quarantine (Life and Culture),1509,Travel and Vacations,409,0.367346939,21
Presidential Election of 2020,2304,Travel and Vacations,409,0.367346939,22
Women and Girls,647,"Demonstrations, Protests and Riots",442,0.367346939,25
Computers and the Internet,536,"Demonstrations, Protests and Riots",442,0.366666667,26
China,609,Senate,577,0.363636364,5
United States,1391,Epidemics,489,0.363636364,10
Republican Party,1147,Senate,577,0.363636364,12
United States,1391,Travel and Vacations,409,0.363636364,14
Disease Rates,426,Travel and Vacations,409,0.363636364,14
Politics and Government,1118,Cooking and Cookbooks,492,0.363636364,15
Books and Literature,778,Disease Rates,426,0.363636364,15
Books and Literature,778,Polls and Public Opinion,404,0.363636364,16
Quarantines,1073,Coronavirus Reopenings,745,0.363636364,17
Coronavirus (2019-nCoV),6554,Cooking and Cookbooks,492,0.363636364,19
Politics and Government,1118,United States Economy,832,0.363636364,20
Blacks,1167,Black Lives Matter Movement,453,0.363636364,21
United States Politics and Government,3830,Quarantine (Life and Culture),1509,0.363636364,27
Cooking and Cookbooks,492,"Demonstrations, Protests and Riots",442,0.363636364,27
Quarantine (Life and Culture),1509,Real Estate and Housing (Residential),1128,0.363636364,29
United States International Relations,549,House of Representatives,424,0.360655738,27
United States Politics and Government,3830,Polls and Public Opinion,404,0.360655738,28
Vaccination and Immunization,667,Children and Childhood,483,0.36,19
Computers and the Internet,536,House of Representatives,424,0.36,20
United States Economy,832,Race and Ethnicity,688,0.358974359,16
Women and Girls,647,Polls and Public Opinion,404,0.358974359,17
Books and Literature,778,Deaths (Fatalities),550,0.358974359,18
United States,1391,Computers and the Internet,536,0.358974359,20
United States Politics and Government,3830,Content Type: Personal Profile,673,0.358208955,29
Democratic Party,1227,Social Media,652,0.357142857,12
Quarantines,1073,your-feed-science,694,0.357142857,14
Coronavirus Reopenings,745,Movies,440,0.357142857,17
Quarantine (Life and Culture),1509,Black Lives Matter Movement,453,0.357142857,24
United States Politics and Government,3830,Deaths (Fatalities),550,0.357142857,28
Real Estate and Housing (Residential),1128,Deaths (Fatalities),550,0.357142857,28
Children and Childhood,483,"Demonstrations, Protests and Riots",442,0.357142857,28
Discrimination,612,"Police Brutality, Misconduct and Shootings",401,0.357142857,34
Content Type: Service,552,House of Representatives,424,0.355555556,17
Politics and Government,1118,Coronavirus Reopenings,745,0.355555556,19
Cooking and Cookbooks,492,Polls and Public Opinion,404,0.355555556,20
Presidential Election of 2020,2304,Education (K-12),413,0.355555556,21
Race and Ethnicity,688,Black Lives Matter Movement,453,0.355555556,21
Quarantine (Life and Culture),1509,Education (K-12),413,0.355555556,23
Content Type: Personal Profile,673,Women and Girls,647,0.355555556,23
"Trump, Donald J",3415,Content Type: Personal Profile,673,0.355555556,24
Quarantines,1073,Senate,577,0.352941176,8
Quarantines,1073,Movies,440,0.352941176,8
Television,663,Theater,437,0.352941176,8
Books and Literature,778,Labor and Jobs,566,0.352941176,15
United States,1391,Content Type: Service,552,0.352941176,16
Black People,1167,Coronavirus Reopenings,745,0.352941176,17
Quarantine (Life and Culture),1509,Children and Childhood,483,0.352941176,22
United States Economy,832,Content Type: Personal Profile,673,0.352941176,23
Presidential Election of 2020,2304,Children and Childhood,483,0.352941176,24
Computers and the Internet,536,"Police Brutality, Misconduct and Shootings",401,0.352941176,33
Presidential Election of 2020,2304,Vaccination and Immunization,667,0.350877193,25
United States Politics and Government,3830,Books and Literature,778,0.350877193,28
United States Politics and Government,3830,Travel and Vacations,409,0.350877193,28
Real Estate and Housing (Residential),1128,Travel and Vacations,409,0.350877193,29
Women and Girls,647,"Police Brutality, Misconduct and Shootings",401,0.350877193,32
Books and Literature,778,Travel and Vacations,409,0.35,15
United States Economy,832,Deaths (Fatalities),550,0.35,17
Labor and Jobs,566,Computers and the Internet,536,0.35,20
Vaccination and Immunization,667,Social Media,652,0.35,21
Black Lives Matter Movement,453,Disease Rates,426,0.35,21
Real Estate and Housing (Residential),1128,Computers and the Internet,536,0.349206349,27
Presidential Election of 2020,2304,"Demonstrations, Protests and Riots",442,0.349206349,29
United States Economy,832,"Police Brutality, Misconduct and Shootings",401,0.349206349,32
Cooking and Cookbooks,492,"Police Brutality, Misconduct and Shootings",401,0.349206349,32
Democratic Party,1227,Theater,437,0.347826087,13
Computers and the Internet,536,Travel and Vacations,409,0.347826087,18
Coronavirus Reopenings,745,Polls and Public Opinion,404,0.347826087,19
Children and Childhood,483,Polls and Public Opinion,404,0.347826087,19
Quarantine (Life and Culture),1509,Politics and Government,1118,0.346153846,23
Coronavirus Reopenings,745,Content Type: Personal Profile,673,0.346153846,24
Race and Ethnicity,688,"Demonstrations, Protests and Riots",442,0.346153846,27
New York City,1402,Republican Party,1147,0.344827586,12
Republican Party,1147,Disease Rates,426,0.344827586,14
Quarantines,1073,Race and Ethnicity,688,0.344827586,14
"Demonstrations, Protests and Riots",442,Polls and Public Opinion,404,0.344827586,26
Content Type: Service,552,United States International Relations,549,0.344827586,29
Democratic Party,1227,"Police Brutality, Misconduct and Shootings",401,0.344827586,34
Content Type: Personal Profile,673,"Demonstrations, Protests and Riots",442,0.34375,27
United States International Relations,549,Black Lives Matter Movement,453,0.34375,28
Coronavirus Reopenings,745,"Police Brutality, Misconduct and Shootings",401,0.34375,31
Children and Childhood,483,"Police Brutality, Misconduct and Shootings",401,0.34375,33
"Trump, Donald J",3415,Travel and Vacations,409,0.342857143,16
Coronavirus Reopenings,745,Disease Rates,426,0.342857143,17
Cooking and Cookbooks,492,Travel and Vacations,409,0.341463415,14
United States Economy,832,Travel and Vacations,409,0.341463415,17
Books and Literature,778,Content Type: Service,552,0.341463415,17
United States Economy,832,Books and Literature,778,0.341463415,20
Shutdowns (Institutional),701,Education (K-12),413,0.341463415,20
United States Economy,832,Computers and the Internet,536,0.340425532,21
Black Lives Matter Movement,453,Travel and Vacations,409,0.340425532,21
Presidential Election of 2020,2304,"Biden, Joseph R Jr",1772,0.340425532,22
Quarantine (Life and Culture),1509,Race and Ethnicity,688,0.340425532,23
Deaths (Fatalities),550,George Floyd Protests (2020),544,0.340425532,23
United States,1391,"Demonstrations, Protests and Riots",442,0.340425532,27
Presidential Election of 2020,2304,Polls and Public Opinion,404,0.339622642,24
Presidential Election of 2020,2304,House of Representatives,424,0.339622642,25
United States Politics and Government,3830,Republican Party,1147,0.339622642,29
United States Politics and Government,3830,Democratic Party,1227,0.339622642,30
Quarantine (Life and Culture),1509,Content Type: Personal Profile,673,0.338983051,25
Presidential Election of 2020,2304,Content Type: Personal Profile,673,0.338983051,26
Coronavirus Reopenings,745,United States International Relations,549,0.338983051,30
Presidential Election of 2020,2304,"Police Brutality, Misconduct and Shootings",401,0.338028169,32
China,609,Theater,437,0.333333333,6
Art,463,Parenting,456,0.333333333,7
Quarantines,1073,Theater,437,0.333333333,8
Social Media,652,Senate,577,0.333333333,9
Social Media,652,Movies,440,0.333333333,9
United States,1391,Quarantines,1073,0.333333333,10
Republican Party,1147,Research,588,0.333333333,12
"Trump, Donald J",3415,Women and Girls,647,0.333333333,14
Republican Party,1147,Discrimination,612,0.333333333,14
Women and Girls,647,Content Type: Service,552,0.333333333,15
United States Economy,832,Content Type: Service,552,0.333333333,17
Discrimination,612,Children and Childhood,483,0.333333333,17
Coronavirus Reopenings,745,Labor and Jobs,566,0.333333333,18
Computers and the Internet,536,Children and Childhood,483,0.333333333,18
Books and Literature,778,Coronavirus Reopenings,745,0.333333333,19
Coronavirus Reopenings,745,Discrimination,612,0.333333333,19
Senate,577,House of Representatives,424,0.333333333,19
Democratic Party,1227,Computers and the Internet,536,0.333333333,20
Republican Party,1147,Computers and the Internet,536,0.333333333,20
Coronavirus Reopenings,745,Computers and the Internet,536,0.333333333,20
Coronavirus (2019-nCoV),6554,Shutdowns (Institutional),701,0.333333333,21
Quarantine (Life and Culture),1509,United States,1391,0.333333333,22
Labor and Jobs,566,George Floyd Protests (2020),544,0.333333333,22
Quarantine (Life and Culture),1509,Disease Rates,426,0.333333333,23
Quarantine (Life and Culture),1509,Shutdowns (Institutional),701,0.333333333,25
Discrimination,612,"Demonstrations, Protests and Riots",442,0.333333333,26
United States Politics and Government,3830,Presidential Election of 2020,2304,0.333333333,29
Quarantine (Life and Culture),1509,United States International Relations,549,0.333333333,29
Politics and Government,1118,United States International Relations,549,0.333333333,29
Quarantines,1073,United States International Relations,549,0.333333333,30
Content Type: Personal Profile,673,"Police Brutality, Misconduct and Shootings",401,0.333333333,32
House of Representatives,424,"Police Brutality, Misconduct and Shootings",401,0.333333333,32
United States Economy,832,"Demonstrations, Protests and Riots",442,0.327272727,26
Vaccination and Immunization,667,Black Lives Matter Movement,453,0.327272727,26
United States Politics and Government,3830,Race and Ethnicity,688,0.327272727,29
United States Politics and Government,3830,"Biden, Joseph R Jr",1772,0.327272727,30
Coronavirus Reopenings,745,Black Lives Matter Movement,453,0.326530612,21
Shutdowns (Institutional),701,Polls and Public Opinion,404,0.326530612,21
Vaccination and Immunization,667,Cooking and Cookbooks,492,0.326530612,21
United States Economy,832,Vaccination and Immunization,667,0.326530612,25
Coronavirus Reopenings,745,Content Type: Service,552,0.325581395,18
United States Economy,832,Children and Childhood,483,0.325581395,19
your-feed-science,694,Computers and the Internet,536,0.325581395,20
Quarantine (Life and Culture),1509,Labor and Jobs,566,0.325581395,23
Women and Girls,647,George Floyd Protests (2020),544,0.325581395,23
Race and Ethnicity,688,Deaths (Fatalities),550,0.324324324,16
Coronavirus Reopenings,745,Women and Girls,647,0.324324324,17
your-feed-science,694,Travel and Vacations,409,0.324324324,17
Politics and Government,1118,Discrimination,612,0.324324324,19
Republican Party,1147,Women and Girls,647,0.322580645,13
United States,1391,Race and Ethnicity,688,0.322580645,15
Race and Ethnicity,688,Disease Rates,426,0.322580645,15
Quarantines,1073,Books and Literature,778,0.322580645,16
United States Economy,832,Television,663,0.322580645,17
Television,663,Content Type: Service,552,0.322580645,18
Labor and Jobs,566,"Police Brutality, Misconduct and Shootings",401,0.321428571,33
Social Media,652,Disease Rates,426,0.32,11
United States,1391,Social Media,652,0.32,12
Parenting,456,Education (K-12),413,0.32,13
Democratic Party,1227,Epidemics,489,0.32,14
Democratic Party,1227,Parenting,456,0.32,14
Republican Party,1147,Parenting,456,0.32,14
your-feed-science,694,Research,588,0.32,14
Senate,577,Deaths (Fatalities),550,0.32,15
Quarantine (Life and Culture),1509,Content Type: Service,552,0.32,22
Quarantine (Life and Culture),1509,Cooking and Cookbooks,492,0.32,22
Books and Literature,778,Content Type: Personal Profile,673,0.32,23
Real Estate and Housing (Residential),1128,Disease Rates,426,0.32,30
Black Lives Matter Movement,453,"Police Brutality, Misconduct and Shootings",401,0.31884058,33
Politics and Government,1118,Content Type: Service,552,0.318181818,18
House of Representatives,424,Travel and Vacations,409,0.318181818,18
Vaccination and Immunization,667,Education (K-12),413,0.318181818,21
Quarantine (Life and Culture),1509,Women and Girls,647,0.318181818,22
Democratic Party,1227,Vaccination and Immunization,667,0.318181818,23
Democratic Party,1227,George Floyd Protests (2020),544,0.318181818,23
Television,663,Parenting,456,0.315789474,8
Television,663,Epidemics,489,0.315789474,9
United States,1391,Movies,440,0.315789474,11
Discrimination,612,China,609,0.315789474,11
Movies,440,Disease Rates,426,0.315789474,11
"Biden, Joseph R Jr",1772,Books and Literature,778,0.315789474,17
your-feed-science,694,Content Type: Service,552,0.315789474,17
Discrimination,612,House of Representatives,424,0.315789474,18
Coronavirus (2019-nCoV),6554,Women and Girls,647,0.315789474,20
Quarantine (Life and Culture),1509,Parenting,456,0.315789474,23
Coronavirus (2019-nCoV),6554,"Demonstrations, Protests and Riots",442,0.315789474,26
Real Estate and Housing (Residential),1128,Books and Literature,778,0.315789474,28
Books and Literature,778,United States International Relations,549,0.315789474,28
"Trump, Donald J",3415,"Police Brutality, Misconduct and Shootings",401,0.315789474,33
Shutdowns (Institutional),701,Computers and the Internet,536,0.31372549,22
Black Lives Matter Movement,453,House of Representatives,424,0.31372549,24
United States Politics and Government,3830,Labor and Jobs,566,0.31372549,29
Real Estate and Housing (Residential),1128,Labor and Jobs,566,0.31372549,29
Democratic Party,1227,Education (K-12),413,0.3125,13
Republican Party,1147,Education (K-12),413,0.3125,14
Black People,1167,Books and Literature,778,0.3125,15
"Biden, Joseph R Jr",1772,Labor and Jobs,566,0.3125,16
Books and Literature,778,Social Media,652,0.3125,16
Social Media,652,Travel and Vacations,409,0.3125,16
Coronavirus Reopenings,745,Television,663,0.3125,17
Research,588,House of Representatives,424,0.3125,19
Politics and Government,1118,Children and Childhood,483,0.311111111,18
United States Economy,832,House of Representatives,424,0.311111111,20
Books and Literature,778,Shutdowns (Institutional),701,0.311111111,20
Coronavirus (2019-nCoV),6554,Children and Childhood,483,0.311111111,21
Deaths (Fatalities),550,Computers and the Internet,536,0.311111111,21
Quarantine (Life and Culture),1509,Democratic Party,1227,0.311111111,24
Quarantines,1073,"Demonstrations, Protests and Riots",442,0.311111111,28
Content Type: Personal Profile,673,George Floyd Protests (2020),544,0.310344828,25
United States Politics and Government,3830,Content Type: Service,552,0.310344828,30
Real Estate and Housing (Residential),1128,United States Economy,832,0.310344828,31
Republican Party,1147,"Police Brutality, Misconduct and Shootings",401,0.310344828,33
Quarantine (Life and Culture),1509,"Police Brutality, Misconduct and Shootings",401,0.309859155,32
Quarantines,1073,Women and Girls,647,0.307692308,11
Social Media,652,Discrimination,612,0.307692308,12
your-feed-science,694,Parenting,456,0.307692308,13
Republican Party,1147,Television,663,0.307692308,14
Race and Ethnicity,688,Research,588,0.307692308,14
"Biden, Joseph R Jr",1772,Research,588,0.307692308,15
Deaths (Fatalities),550,Theater,437,0.307692308,15
Blacks,1167,Travel and Vacations,409,0.307692308,16
Books and Literature,778,Senate,577,0.307692308,16
Senate,577,Travel and Vacations,409,0.307692308,16
Coronavirus (2019-nCoV),6554,Education (K-12),413,0.307692308,17
"Biden, Joseph R Jr",1772,Content Type: Service,552,0.307692308,17
China,609,Cooking and Cookbooks,492,0.307692308,17
Coronavirus Reopenings,745,your-feed-science,694,0.307692308,18
Women and Girls,647,House of Representatives,424,0.307692308,18
Shutdowns (Institutional),701,Discrimination,612,0.307692308,19
Computers and the Internet,536,Disease Rates,426,0.307692308,20
Social Media,652,Black Lives Matter Movement,453,0.307692308,21
Coronavirus (2019-nCoV),6554,Quarantine (Life and Culture),1509,0.307692308,23
Presidential Election of 2020,2304,Politics and Government,1118,0.307692308,23
Presidential Election of 2020,2304,Television,663,0.307692308,23
Quarantines,1073,Vaccination and Immunization,667,0.307692308,24
Content Type: Personal Profile,673,Children and Childhood,483,0.307692308,25
"Biden, Joseph R Jr",1772,"Demonstrations, Protests and Riots",442,0.307692308,27
United States Politics and Government,3830,Women and Girls,647,0.307692308,29
Real Estate and Housing (Residential),1128,Women and Girls,647,0.307692308,30
Real Estate and Housing (Residential),1128,George Floyd Protests (2020),544,0.307692308,30
Real Estate and Housing (Residential),1128,Coronavirus Reopenings,745,0.305084746,28
Shutdowns (Institutional),701,"Demonstrations, Protests and Riots",442,0.305084746,28
United States Politics and Government,3830,Children and Childhood,483,0.305084746,29
Real Estate and Housing (Residential),1128,Children and Childhood,483,0.305084746,29
United States International Relations,549,Children and Childhood,483,0.305084746,29
United States Politics and Government,3830,Coronavirus Reopenings,745,0.305084746,30
United States Economy,832,Shutdowns (Institutional),701,0.304347826,20
Deaths (Fatalities),550,Black Lives Matter Movement,453,0.304347826,22
Quarantine (Life and Culture),1509,your-feed-science,694,0.304347826,24
Presidential Election of 2020,2304,your-feed-science,694,0.304347826,25
"Trump, Donald J",3415,"Biden, Joseph R Jr",1772,0.303030303,13
"Biden, Joseph R Jr",1772,Women and Girls,647,0.303030303,15
Discrimination,612,Deaths (Fatalities),550,0.303030303,15
New York City,1402,Books and Literature,778,0.303030303,17
Politics and Government,1118,Television,663,0.303030303,18
Parenting,456,House of Representatives,424,0.303030303,19
Parenting,456,Polls and Public Opinion,404,0.303030303,20
Computers and the Internet,536,Theater,437,0.303030303,21
Presidential Election of 2020,2304,Real Estate and Housing (Residential),1128,0.303030303,33
Quarantine (Life and Culture),1509,House of Representatives,424,0.301886792,24
Coronavirus (2019-nCoV),6554,Content Type: Personal Profile,673,0.301886792,25
Politics and Government,1118,Content Type: Personal Profile,673,0.301886792,25
Democratic Party,1227,United States International Relations,549,0.301886792,30
Real Estate and Housing (Residential),1128,Education (K-12),413,0.301886792,30
Quarantines,1073,"Police Brutality, Misconduct and Shootings",401,0.301886792,34
Quarantines,1073,Epidemics,489,0.3,9
Discrimination,612,Senate,577,0.3,11
"Biden, Joseph R Jr",1772,Children and Childhood,483,0.3,17
Republican Party,1147,Polls and Public Opinion,404,0.3,19
Shutdowns (Institutional),701,Women and Girls,647,0.3,20
"Trump, Donald J",3415,Shutdowns (Institutional),701,0.3,21
Democratic Party,1227,House of Representatives,424,0.3,21
United States,1391,Black Lives Matter Movement,453,0.3,22
Republican Party,1147,House of Representatives,424,0.3,22
Education (K-12),413,Polls and Public Opinion,404,0.3,22
Content Type: Personal Profile,673,Television,663,0.3,26
Race and Ethnicity,688,"Police Brutality, Misconduct and Shootings",401,0.3,33
Real Estate and Housing (Residential),1128,Content Type: Personal Profile,673,0.298507463,31
Computers and the Internet,536,Cooking and Cookbooks,492,0.29787234,19
