,married,race,loan_decision,occupancy,loan_amount,applicant_income,num_units,num_dependants,self_employed,monthly_income,purchase_price,liquid_assets,mortage_payment_history,consumer_credit_history,filed_bankruptcy,property_type,gender
45,true,white,approve,1,632,351,1,0,false,24166,790.0,183.0,1,1,false,2,male
46,false,white,approve,1,112,60,1,0,true,5000,140.0,49.0,2,2,false,2,male
47,true,hispan,reject,1,112,68,1,2,false,3365,118.0,9.0,3,6,false,2,male
48,false,black,approve,1,78,39,1,0,false,3276,115.0,31.0,2,6,false,1,male
49,true,black,approve,1,151,74,2,1,false,3717,158.0,14.0,2,5,false,3,male
50,true,white,approve,1,115,57,1,0,true,3900,150.0,6.0,1,2,false,2,male
51,true,white,approve,1,152,72,2,0,true,2165,140.0,47.0,2,1,false,3,male
52,false,hispan,approve,1,59,27,1,1,false,2226,66.0,11.0,2,2,false,1,female
53,true,white,reject,2,147,54,1,2,false,3881,165.0,34.0,2,5,false,2,male
54,false,hispan,approve,1,80,44,1,0,false,3685,101.0,34.0,2,1,false,1,male
55,true,white,approve,1,130,55,1,0,false,2824,144.0,26.0,2,1,false,2,male
56,true,white,approve,1,280,157,1,2,false,13633,350.0,129.3,1,2,false,2,male
57,true,white,approve,1,175,108,1,0,true,5000,345.0,228.0,4,3,false,2,male
58,true,white,approve,1,187,103,1,1,false,4042,330.0,44.02,1,1,false,2,male
59,true,white,approve,1,310,119,1,2,false,13567,457.0,154.0,1,1,false,2,male
60,true,white,approve,1,345,275,1,1,false,12579,388.0,83.0,1,1,false,2,female
61,false,white,approve,1,90,40,1,0,true,3333,145.0,94.0,2,1,false,2,male
62,false,white,approve,1,115,52,1,0,false,4333,165.0,207.0,2,1,false,2,male
63,true,white,approve,1,191,115,1,0,true,9560,410.0,76.0,1,6,false,2,male
64,false,white,reject,1,123,61,1,0,false,2400,136.0,5.0,2,2,true,1,male
65,true,white,approve,1,122,61,1,0,false,2799,138.0,25.0,2,2,false,2,male
66,false,white,approve,1,68,35,1,0,false,2887,135.0,144.0,2,1,false,2,male
67,true,hispan,approve,1,128,72,1,2,false,2202,160.0,62.0,3,6,true,2,male
68,false,white,approve,1,134,57,1,0,false,2773,154.0,32.0,2,1,false,2,male
69,true,white,approve,1,72,35,1,2,false,2925,96.0,1.0,1,1,false,1,female
70,true,white,approve,1,110,63,1,2,false,4226,141.0,13.1,2,5,false,2,male
71,true,white,approve,1,138,71,1,0,false,2988,153.0,20.73,2,1,false,2,female
72,true,hispan,approve,1,248,95,1,2,false,5399,295.0,57.0,2,1,false,1,male
73,true,white,approve,1,99,64,1,0,false,4194,110.0,23.4,2,5,false,2,male
74,true,white,approve,1,187,84,1,1,false,5850,268.0,149.0,2,1,false,2,male
75,false,white,approve,1,90,27,1,0,false,3091,145.0,72.0,2,1,false,2,male
76,false,white,approve,2,130,27,2,0,false,3125,155.0,25.0,2,1,false,3,male
77,false,white,approve,1,2,35,1,0,false,2963,95.0,21.0,2,1,false,1,male
78,false,black,approve,1,132,59,1,1,false,4020,149.0,23.0,2,1,false,2,female
79,true,black,approve,1,162,53,2,1,false,2185,170.0,19.0,2,1,false,3,male
80,false,white,reject,1,40,50,1,4,false,4166,50.0,17.0,3,3,true,2,male
81,true,white,approve,1,150,66,1,0,false,3000,167.0,38.0,2,1,false,2,male
82,false,white,approve,1,94,43,1,0,false,2374,99.0,8.0,2,2,false,2,male
83,false,white,reject,1,35,17,1,0,false,1442,35.0,1000000.0,2,1,false,2,male
84,false,black,approve,1,120,70,1,2,false,3750,150.0,38.0,2,1,false,2,female
85,true,white,approve,1,50,42,1,0,false,3517,165.0,80.5,2,2,false,2,male
86,false,white,approve,1,180,157,1,0,false,4442,225.0,72.0,1,2,false,2,male
87,true,black,approve,1,732,288,1,1,false,23917,975.0,1213.0,1,1,false,2,male
88,true,white,approve,1,201,120,1,1,false,4166,223.0,27.0,1,2,false,2,male
89,true,white,approve,1,183,100,1,0,false,3734,192.0,23.0,2,5,false,2,female
90,true,white,approve,1,170,71,1,1,false,3500,231.0,101.0,2,3,false,2,male
91,true,white,reject,1,166,146,1,2,true,12173,208.0,55.0,2,4,false,2,male
92,false,white,reject,1,74,38,1,0,false,3167,81.0,15.0,2,1,false,1,male
93,false,black,reject,1,124,56,1,0,false,4666,162.0,43.0,2,1,false,1,female
94,false,white,approve,1,106,56,1,1,true,4692,132.0,33.61,2,1,false,2,male
95,true,black,approve,1,114,70,1,0,false,3500,131.0,35.0,2,1,false,2,male
96,false,white,approve,1,131,68,1,1,false,5667,145.0,38.0,2,2,false,1,male
97,false,white,reject,1,320,0,1,3,false,12500,630.0,421.2,1,3,true,2,male
98,true,hispan,approve,1,192,105,1,2,false,8750,225.0,17.0,1,1,false,2,female
99,false,white,approve,1,101,52,1,0,false,2493,107.0,17.68,2,1,false,1,male
100,false,white,approve,1,68,36,1,0,false,3045,85.0,24.0,2,2,false,1,female
101,false,white,approve,1,155,65,2,0,false,2541,172.0,28.0,2,1,false,3,female
102,true,white,approve,1,200,90,1,2,false,4583,300.0,122.0,2,1,false,1,male
103,true,white,approve,1,115,52,1,0,false,2275,137.0,21.0,2,1,false,2,male
104,true,black,approve,1,126,49,1,3,false,3786,171.0,10.0,2,6,true,2,male
105,true,white,approve,1,300,206,1,0,false,9226,615.0,328.0,1,1,false,2,male
106,true,white,reject,1,100,38,.,0,false,1828,122.0,16.0,2,6,false,2,male
107,false,white,approve,1,235,99,1,0,false,8283,255.0,0.9,1,1,false,2,male
108,true,white,approve,1,65,32,1,0,false,2766,72.4,15.5,2,1,false,2,male
109,true,hispan,approve,1,144,62,3,0,false,3667,160.0,19.0,2,1,false,3,female
110,false,white,approve,1,135,63,1,0,false,5290,180.0,58.0,2,1,false,2,female
111,false,white,approve,2,184,50,1,0,false,4166,230.0,50.0,1,1,false,1,male
112,false,white,approve,1,100,57,1,0,false,1300,295.0,255.0,2,2,false,2,male
113,false,white,approve,1,110,65,1,0,false,3748,167.0,71.0,2,1,false,2,male
114,false,hispan,approve,1,149,58,1,0,false,4800,165.0,50.1,2,1,false,1,female
115,true,white,approve,1,450,265,1,0,false,22108,650.0,365.0,1,1,false,2,male
116,false,black,reject,1,80,43,1,0,false,3600,100.0,15.5,2,4,false,1,male
117,false,white,approve,1,47,36,1,0,false,1800,67.5,5.152,2,2,false,1,male
118,true,hispan,reject,1,48,42,1,1,false,1888,62.9,34.0,2,2,false,2,male
119,true,white,approve,1,160,119,1,2,true,7400,300.0,198.0,2,1,false,2,male
120,true,white,approve,1,75,24,1,0,false,2400,100.0,56.0,2,1,false,2,male
121,false,white,approve,1,28,25,1,4,false,2083,100.0,54.0,2,2,false,1,female
122,false,white,approve,1,187,62,1,0,true,5142,280.0,54.45,4,3,false,2,male
123,true,hispan,approve,1,180,40,2,4,true,8675,200.5,37.0,2,1,false,3,male
124,true,black,approve,1,100,120,1,1,false,3781,100.0,100.0,1,1,false,2,male
125,false,white,approve,1,101,48,1,0,false,3909,125.0,20.0,2,1,false,1,.
126,true,white,approve,1,132,72,1,1,false,3293,165.0,45.0,2,5,true,2,male
127,true,white,approve,1,160,68,2,2,false,5661,240.0,80.0,1,1,false,3,male
128,true,white,approve,1,134,75,1,0,false,3941,150.0,21.0,1,1,false,1,male
129,true,white,approve,1,350,259,1,2,true,21666,737.0,1100.0,1,1,false,2,female
130,true,white,approve,1,85,60,1,2,false,3247,84.0,269.7,1,1,false,2,male
131,true,white,approve,1,91,63,1,0,false,2816,114.0,19.0,2,2,false,2,male
132,false,white,approve,1,125,51,1,0,false,3765,195.0,80.0,1,1,false,2,female
133,true,white,approve,1,96,64,1,0,true,4695,120.0,10.4,1,3,false,2,male
134,false,white,approve,1,88,41,1,0,false,3410,110.0,37.0,2,1,false,1,female
135,true,white,approve,2,44,68,1,1,false,5649,55.0,3.0,1,1,false,2,male
136,false,white,approve,1,100,77,1,0,false,2791,126.0,38.0,1,1,false,2,male
137,false,white,approve,1,56,104,1,0,false,8666,75.0,38.43,2,1,false,1,male
138,true,white,approve,1,182,98,2,2,false,3015,202.0,23.6,2,5,false,3,male
139,true,white,approve,1,86,51,1,0,false,2121,115.0,31.0,2,2,false,2,male
140,true,white,approve,1,129,90,1,3,false,4279,233.0,12.0,1,1,false,2,male
141,true,white,approve,1,144,72,1,0,false,5821,156.0,36.0,2,2,false,2,male
142,true,white,approve,1,105,71,1,0,false,2013,132.0,8.0,2,1,false,2,male
143,true,white,reject,1,120,73,2,0,false,2645,133.0,5.0,2,6,true,3,female
144,true,white,approve,2,137,253,1,0,true,21117,171.0,429.0,1,1,false,1,male
145,true,white,approve,1,160,75,1,2,false,5580,302.0,63.0,1,2,false,2,male
146,true,white,reject,1,290,117,1,0,false,5400,405.0,246.0,1,2,false,2,male
147,false,white,approve,2,70,30,2,0,true,2656,90.0,0.0,1,1,false,3,male
148,false,white,approve,1,144,64,1,0,false,4000,185.0,56.0,2,1,false,2,female
149,false,white,approve,1,199,94,3,0,false,7865,246.0,206.0,2,6,false,3,female
150,false,white,reject,1,148,288,1,0,false,0,185.0,151.0,3,6,false,2,male
151,false,white,approve,1,237,99,1,0,false,8333,296.0,72.0,2,1,false,1,male
152,true,white,approve,1,100,43,1,0,false,1928,182.0,107.0,2,1,false,2,female
153,false,white,approve,1,90,53,1,1,false,2430,100.0,7.0,2,5,true,2,male
154,false,black,approve,1,120,52,2,0,false,3086,150.0,57.0,2,1,false,3,female
155,true,white,approve,1,100,49,1,1,false,4050,190.0,155.0,1,2,false,2,male
156,false,white,approve,1,53,33,1,0,false,2622,92.5,60.7,1,6,false,1,female
157,false,white,approve,1,48,27,1,1,false,2250,60.0,83.0,2,1,false,1,female
158,true,white,approve,1,49,45,1,0,false,3200,49.0,18.25,1,2,false,2,male
159,true,white,approve,1,138,60,1,2,true,5250,173.0,6.0,1,1,false,2,male
160,true,white,approve,1,140,67,1,2,false,4363,85.0,61.5,1,1,false,2,male
161,false,white,approve,1,112,51,1,0,false,4230,140.0,52.0,2,1,false,2,female
162,false,white,approve,1,70,25,1,0,false,2067,140.0,92.6,2,1,false,2,female
163,true,black,approve,1,86,36,1,1,false,3168,107.0,12.0,2,4,false,1,female
164,true,hispan,approve,1,53,48,1,0,false,2505,71.0,29.16,2,1,false,1,male
165,true,white,approve,1,140,75,1,0,false,4107,214.0,133.0,1,1,false,1,male
166,true,white,approve,1,275,135,1,0,false,7500,306.0,48.0,2,1,false,2,male
167,true,white,approve,1,300,115,1,3,false,8600,575.0,81.0,1,1,false,2,male
168,true,white,approve,1,140,77,1,1,false,3782,140.0,32.0,1,1,false,2,female
169,true,white,approve,1,112,49,1,2,false,3729,117.5,17.0,2,6,true,2,male
170,true,black,approve,1,137,122,1,0,false,4980,153.0,49.0,2,6,false,1,male
171,true,black,reject,1,57,56,1,0,false,3772,85.0,1.5,3,6,false,2,male
172,true,white,approve,1,230,128,1,4,false,9233,290.0,111.2,1,1,false,2,male
173,false,white,approve,1,125,64,2,0,false,2942,225.0,449.0,2,1,false,3,male
174,false,white,approve,1,75,33,1,0,false,2478,210.0,58.49,1,2,false,2,female
175,true,white,approve,1,187,157,1,0,false,6500,290.0,52.0,1,2,false,2,male
176,true,white,approve,1,134,55,1,2,false,4616,149.0,18.9,2,6,false,2,male
177,true,white,approve,1,83,60,1,0,false,3879,128.0,10.0,2,2,false,2,male
178,false,white,approve,1,26,60,1,0,false,2600,29.0,7.0,2,2,false,1,female
179,true,white,approve,1,248,117,1,1,false,6812,280.0,74.0,2,5,false,2,male
180,true,white,approve,1,192,85,1,2,false,6250,240.0,163.7,1,5,false,2,male
181,false,black,approve,1,108,51,1,0,false,3926,120.0,28.1,2,1,false,2,male
182,false,white,approve,1,152,59,1,0,false,3268,165.0,25.0,2,6,false,2,male
183,true,white,reject,1,286,138,1,1,true,11500,357.0,164.0,1,2,false,1,female
184,true,white,approve,1,158,62,1,0,false,2783,175.0,47.0,1,1,false,2,male
185,false,white,approve,1,55,48,1,1,false,3226,250.0,270.0,2,1,false,2,male
186,true,white,approve,1,140,52,1,0,false,2708,176.0,37.0,2,2,false,2,male
187,true,white,approve,1,101,52,1,0,false,2740,126.5,28.1,1,3,false,2,male
188,false,white,approve,1,152,126,4,0,false,10500,199.0,51.0,1,6,false,3,male
189,true,white,approve,1,124,49,1,0,false,1987,134.9,13.28,2,2,false,2,male
190,true,white,approve,1,187,132,1,2,false,10166,250.0,91.0,2,6,false,2,male
191,true,white,approve,1,97,43,1,2,false,2708,135.0,49.0,2,1,false,2,male
192,true,white,approve,1,96,45,1,0,false,2132,120.0,35.0,2,1,false,2,male
193,false,white,approve,1,124,54,1,0,false,3366,1329.0,30.0,2,1,false,2,male
194,true,white,approve,1,135,70,1,0,false,3366,155.0,25.0,2,2,false,2,male
195,true,white,approve,1,180,120,2,1,false,8080,225.0,267.0,1,1,false,3,male
196,true,black,approve,1,144,75,2,2,false,3357,160.0,36.0,1,1,false,3,male
197,true,white,approve,1,287,110,1,3,false,9303,325.0,82.0,1,1,false,2,male
198,false,white,approve,1,164,110,1,0,true,9167,204.4,434.6,2,1,false,1,male
199,true,white,approve,1,145,48,1,0,false,3328,185.0,72.0,1,5,false,2,male
200,false,white,reject,1,176,38,3,0,false,3150,195.0,54.0,2,1,false,3,male
201,true,white,approve,1,450,155,1,2,false,12918,620.0,60.0,1,5,false,2,male
202,true,white,approve,1,120,178,1,0,false,2500,129.0,8.0,2,1,false,2,male
203,true,black,approve,1,99,37,1,3,false,3029,110.0,13.5,2,1,false,1,male
204,true,white,reject,1,165,64,1,0,true,2609,190.0,56.0,2,5,false,2,male
205,true,white,approve,2,185,137,2,2,false,7350,264.0,325.0,2,1,false,3,male
206,true,white,approve,1,130,51,1,2,false,4225,280.0,277.0,1,1,false,2,male
207,true,white,approve,1,90,61,1,0,true,2267,145.0,28.0,1,1,false,1,male
208,false,black,approve,1,116,71,1,0,true,5833,145.0,33.0,3,1,false,3,male
209,false,white,approve,1,105,36,1,0,false,3000,110.0,32.0,2,1,false,1,female
210,true,white,reject,1,147,59,1,1,false,4945,164.0,22.0,1,6,true,2,male
211,true,white,approve,1,95,48,1,2,false,3072,147.0,65.0,1,5,false,2,male
212,true,white,approve,1,116,44,1,4,false,3640,129.0,123.0,2,1,false,2,male
213,true,white,approve,1,152,70,1,2,false,5250,169.0,58.0,2,2,false,2,male
214,false,white,approve,1,135,64,1,0,false,3485,192.0,188.0,2,6,false,2,female
215,true,black,approve,1,304,142,1,1,false,7700,380.0,632.6,2,1,false,2,male
216,false,white,approve,1,138,67,1,0,false,3643,154.0,20.0,2,1,false,2,male
217,true,white,approve,1,100,78,1,0,false,5629,184.0,618.0,2,1,false,1,male
218,false,white,approve,1,110,41,1,0,false,3644,140.0,60.0,1,2,false,2,female
219,false,white,reject,1,116,50,1,0,false,4166,129.0,8650.0,2,3,true,1,female
220,true,white,approve,1,136,78,1,0,true,4333,170.0,46.0,2,2,false,2,male
221,false,hispan,approve,1,44,22,1,0,false,1833,55.0,18.0,2,1,false,1,female
222,true,white,reject,2,258,124,1,0,false,5726,287.0,65.0,2,2,false,2,male
223,true,white,approve,1,90,47,1,0,false,1750,129.9,1.0,2,1,true,1,male
224,false,white,approve,1,97,51,1,0,false,4167,121.0,33.0,2,1,false,1,male
225,false,white,reject,1,126,58,1,0,false,3200,140.0,29.0,2,5,false,2,male
226,true,white,approve,1,156,82,1,2,false,5667,216.0,61.4,1,1,false,2,male
227,false,white,reject,1,200,109,1,0,false,6500,295.0,64.0,2,3,false,2,male
228,false,white,approve,1,84,44,1,0,false,3666,105.0,30.0,2,5,false,1,female
229,true,white,approve,1,185,97,1,0,false,4260,250.0,65.6,1,3,false,2,male
230,true,white,approve,1,312,129,2,1,false,10750,390.0,120.0,1,1,false,3,male
231,true,white,approve,1,190,138,1,0,false,8500,180.0,1000000.0,2,1,false,2,male
232,false,white,approve,1,315,123,1,0,false,6833,420.0,75.0,1,1,false,2,male
233,true,white,approve,1,75,33,1,2,false,2731,150.0,81.0,2,1,false,2,male
234,true,white,approve,1,162,72,1,0,false,4163,247.0,75.2,1,6,false,2,male
235,true,white,approve,1,125,85,1,3,true,7100,343.0,239.0,1,2,false,2,male
236,true,white,approve,1,96,38,1,1,false,3145,120.0,36.74,2,4,false,1,male
237,false,hispan,approve,1,80,37,1,0,false,3068,130.0,60.0,1,1,false,1,male
238,false,white,reject,1,136,61,2,0,false,4300,181.0,101.0,2,2,false,3,female
239,false,white,approve,1,108,51,1,0,false,2356,120.0,18.0,2,2,false,2,male
240,true,white,approve,1,172,75,1,0,false,3208,230.0,20.2,2,1,false,2,male
241,false,white,approve,1,82,37,1,0,false,3117,103.0,35.21,2,1,false,1,female
242,true,white,approve,1,97,666,1,2,true,1875,137.0,72.0,2,2,false,2,male
243,false,white,approve,1,138,62,1,0,false,5177,153.0,22.0,2,1,false,2,male
244,true,white,approve,1,93,47,1,0,true,3941,170.0,2.0,3,6,false,2,male
245,false,white,approve,1,81,30,4,0,false,3500,90.0,8.0,2,2,false,3,male
246,true,white,approve,1,151,71,1,0,false,2517,168.0,22.0,1,2,false,2,male
247,true,black,reject,1,95,57,1,3,false,4755,155.0,82.0,2,2,true,2,male
248,true,white,approve,1,96,53,1,1,false,2188,156.0,6.0,1,1,false,2,male
249,true,white,approve,1,100,36,1,0,false,3000,234.0,98.0,1,4,false,2,female
250,true,hispan,approve,1,187,84,1,3,true,5266,259.0,91.0,1,1,false,2,male
251,true,white,approve,1,124,73,1,0,false,3685,155.0,35.0,2,1,false,2,female
252,false,white,approve,1,113,45,1,0,false,3750,125.0,19.0,1,1,false,2,male
253,false,white,reject,1,176,102,1,0,false,3750,208.0,40.0,1,1,false,1,male
254,false,white,approve,1,118,40,1,0,false,4120,128.0,6.0,2,3,false,1,female
255,true,white,approve,1,115,52,1,0,false,2860,130.0,30.0,2,1,false,2,male
256,true,white,reject,1,110,60,1,1,true,1000,50.0,26.0,2,1,false,2,male
257,true,white,approve,1,187,85,1,2,false,5008,285.0,116.0,2,1,false,2,male
258,false,white,approve,1,135,73,1,0,false,3517,220.0,227.0,2,1,false,1,male
259,false,white,approve,1,109,64,1,0,false,2916,157.0,76.0,2,1,false,2,male
260,true,white,reject,1,180,46,1,3,false,3167,70.0,5.0,3,3,true,1,male
261,true,black,approve,1,130,66,1,3,true,3333,162.0,80.0,2,1,false,2,male
262,false,white,approve,1,111,46,1,0,false,3846,139.0,18.76,2,2,false,2,female
263,true,white,approve,1,60,29,1,1,true,2395,160.0,122.0,2,2,false,2,male
264,true,black,reject,1,167,53,2,2,false,1378,175.0,13.0,2,4,false,3,female
265,false,white,approve,1,187,122,1,0,false,6792,260.0,100.0,1,1,false,2,male
266,true,white,approve,1,98,86,1,2,false,4041,140.0,47.0,2,5,false,2,male
267,true,white,approve,1,187,99,1,3,true,8000,260.0,16.0,1,1,false,2,male
268,false,white,approve,1,136,75,1,0,false,4160,170.0,62.0,2,5,false,2,male
269,true,white,approve,1,182,85,1,1,false,4153,315.0,26.0,1,1,false,2,male
270,true,black,reject,1,265,99,1,0,false,6000,295.0,29.0,2,5,true,2,male
271,true,white,approve,1,264,107,1,0,false,5834,293.0,34.0,2,1,false,2,male
272,true,white,approve,1,50,48,1,1,false,3988,150.0,0.0,2,2,false,2,male
273,false,hispan,approve,1,87,38,2,0,false,3248,97.0,22.1,1,1,false,3,male
274,true,black,approve,1,90,62,2,0,false,3320,90.0,1.8,1,5,false,3,male
275,true,white,approve,1,176,76,1,0,false,3667,191.0,26.0,2,1,false,2,male
276,false,hispan,approve,1,136,59,1,0,false,2366,170.0,35.0,2,4,false,2,male
277,true,white,approve,1,99,76,1,2,false,3333,179.0,12.0,1,1,false,2,male
278,true,white,approve,1,70,72,1,4,false,2489,160.0,19.0,1,5,false,2,female
279,true,white,approve,1,104,55,1,0,false,2500,115.0,26.0,2,6,false,2,male
280,false,white,approve,1,129,73,1,0,false,6400,143.0,17.4,2,2,false,1,male
281,true,white,approve,1,124,50,1,1,false,2419,155.0,32.0,2,1,false,2,male
282,true,white,approve,1,55,36,1,0,false,3440,95.0,5.0,2,4,false,1,male
283,false,white,approve,1,135,31,1,0,false,2680,175.0,45.0,2,1,false,2,male
284,true,white,approve,1,120,48,1,3,false,3500,149.9,43.0,2,1,false,2,.
285,true,white,approve,1,275,96,1,0,false,7933,380.0,144.0,1,1,false,2,male
286,false,white,approve,1,210,103,1,0,false,8566,339.0,206.0,1,1,false,2,male
287,false,white,approve,1,71,34,1,0,false,2800,95.0,28.0,2,2,false,2,female
288,true,white,approve,1,160,45,1,1,false,3500,210.0,106.0,1,1,false,2,male
289,true,white,approve,1,116,51,1,3,false,2230,145.0,46.0,2,1,false,2,male
290,true,white,approve,1,80,48,1,0,true,2200,100.0,127.0,1,5,false,2,male
291,true,white,approve,1,130,51,1,6,false,3667,144.0,10.1,2,2,false,2,male
292,true,white,approve,1,125,60,1,3,false,3565,84.0,1000000.0,2,1,false,2,male
293,true,hispan,approve,1,96,54,1,2,false,1894,104.0,11.0,2,1,false,2,male
294,true,black,approve,1,146,66,1,3,false,3333,195.0,258.0,1,2,false,2,male
295,true,white,approve,1,30,61,1,2,false,4116,342.0,157.2,1,1,false,2,male
296,true,white,approve,1,140,113,1,2,false,7262,287.5,52.23,1,1,false,2,male
297,true,white,approve,1,115,51,1,4,false,4230,200.0,2.0,4,6,true,2,male
298,true,white,approve,1,25,48,1,0,false,4030,25.0,6.5,1,1,false,2,male
299,true,white,approve,1,125,88,1,0,true,5885,300.0,100.0,1,1,false,1,male
300,false,white,approve,1,145,85,1,0,false,7093,182.0,50.0,1,1,false,1,male
301,false,white,approve,1,176,71,1,0,false,5941,235.0,92.0,2,1,false,1,male
302,true,white,approve,1,89,55,1,2,false,4582,99.0,7.0,2,1,false,2,male
303,true,white,approve,1,125,55,1,1,false,4552,145.0,36.0,2,1,false,2,male
304,true,white,approve,1,141,69,1,0,false,2625,177.0,40.0,2,6,false,2,male
305,false,white,approve,1,80,47,1,0,false,3900,102.0,63.0,4,1,false,1,male
306,true,white,approve,1,90,40,1,1,false,3333,178.0,8.0,1,1,false,2,male
307,true,white,approve,1,175,118,1,0,false,5695,250.0,95.0,1,1,false,2,male
308,false,white,approve,1,132,71,1,0,false,4503,165.0,31.0,2,1,false,2,male
309,true,white,approve,1,92,64,1,0,true,5293,115.0,430.0,2,1,false,1,male
310,false,white,approve,1,130,33,1,0,false,2750,184.0,22.0,2,4,false,1,male
311,false,white,approve,1,94,53,1,0,false,4400,102.0,21.0,2,4,false,1,male
312,true,white,approve,1,155,82,1,1,false,4845,254.0,138.0,1,2,false,2,male
313,true,black,approve,1,131,64,1,0,false,2958,139.0,4.0,2,2,false,1,male
314,false,hispan,reject,1,130,53,1,0,false,4402,137.0,12.5,1,3,false,2,female
315,true,white,approve,1,188,143,1,2,false,6250,528.0,766.0,1,1,false,2,male
316,true,white,approve,1,81,61,1,2,false,3273,90.0,15.0,2,1,false,2,male
317,true,white,approve,1,200,159,1,0,false,25750,367.0,612.0,1,1,false,2,female
318,true,white,approve,1,134,85,1,2,false,3613,149.0,35.0,2,1,false,2,male
319,false,white,approve,1,122,50,1,0,false,4133,162.0,53.0,2,1,false,2,male
320,true,hispan,approve,1,176,85,1,2,false,2779,191.0,26.0,2,6,false,2,female
321,true,white,approve,1,90,51,1,3,false,4720,174.0,13.0,2,1,false,2,male
322,false,white,approve,1,25,45,2,0,false,3620,25.0,1.2,1,1,false,3,male
323,false,white,reject,1,203,81,3,0,true,6782,225.0,31.5,2,1,false,3,male
324,true,white,approve,1,137,43,1,0,false,2484,152.0,29.0,2,1,false,2,female
325,true,black,approve,1,120,60,1,1,true,3006,150.0,17.0,2,3,false,2,male
326,true,hispan,approve,1,124,48,1,2,true,1573,162.0,42.0,2,1,false,2,male
